,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
194,28,96,4,132,291,124,Joe,18,13,81,2,Ingles,1241,19,98,342,SF,55,UTA,210,81,65,81,43
195,20,10,3,29,37,13,Damien,8,7,20,1,Inglis,156,2,11,36,SF,6,MIL,13,3,11,24,10
196,23,249,18,113,879,394,Kyrie,191,169,53,53,Irving,1667,44,107,1041,PG,56,CLE,262,84,124,617,310
197,32,236,7,127,358,140,Jarrett,112,100,32,32,Jack,1027,9,77,411,PG,34,BRK,102,31,94,256,109
198,25,492,11,195,1244,540,Reggie,337,291,79,79,Jackson,2424,58,187,1489,PG,59,DET,334,118,223,910,422
199,31,514,49,454,1416,737,LeBron,491,359,76,76,James,2709,111,143,1920,SF,104,CLE,282,87,249,1134,650
200,31,70,41,244,505,245,Al,111,72,47,18,Jefferson,1096,57,117,562,C,30,CHO,0,0,34,505,245
201,25,0,1,10,22,9,Cory,6,4,8,0,Jefferson,50,6,8,22,PF,0,PHO,1,0,0,21,9
202,35,59,14,113,312,143,Richard,87,58,74,5,Jefferson,1326,15,129,410,SF,33,CLE,173,66,43,139,77
203,28,62,24,211,286,118,Jonas,78,61,78,0,Jerebko,1176,77,137,340,PF,20,BOS,108,43,52,178,75
204,28,138,83,327,426,249,Amir,121,69,79,76,Johnson,1800,178,214,577,PF,52,BOS,43,10,94,383,239
205,25,45,20,105,194,72,Chris,42,34,70,2,Johnson,857,27,100,205,SF,32,UTA,99,27,40,95,45
206,28,67,33,98,240,114,James,68,39,57,32,Johnson,926,28,84,287,PF,29,TOR,66,20,54,174,94
207,19,118,12,248,600,225,Stanley,102,80,73,6,Johnson,1687,58,178,593,SF,55,DET,205,63,114,395,162
208,23,79,14,81,243,118,Tyler,64,51,36,5,Johnson,863,28,66,314,SG,24,MIA,71,27,47,172,91
209,28,49,56,211,515,208,Wesley,46,30,80,9,Johnson,1666,37,173,549,SF,89,LAC,309,103,54,206,105
210,20,189,50,379,600,307,Nikola,190,154,80,55,Jokic,1733,181,208,796,C,79,DEN,84,28,104,516,279
211,35,2,2,4,14,6,Dahntay,0,0,1,0,Jones,42,1,6,13,SF,1,CLE,2,1,0,12,5
212,35,14,10,42,142,58,James,26,21,48,0,Jones,463,8,50,178,SF,11,CLE,104,41,13,38,17
213,24,41,39,149,367,166,Terrence,116,77,50,11,Jones,1044,62,86,434,PF,23,HOU,79,25,49,288,141
214,19,108,3,40,156,56,Tyus,39,28,37,0,Jones,573,7,33,156,PG,31,MIN,53,16,33,103,40
215,27,90,177,792,508,357,DeAndre,619,266,77,77,Jordan,2598,267,207,980,C,51,LAC,1,0,107,507,357
216,24,250,20,171,585,257,Cory,174,133,80,4,Joseph,2046,39,131,677,SG,63,TOR,110,30,102,475,227
217,33,11,1,17,43,20,Chris,3,3,16,2,Kaman,112,7,15,44,C,1,POR,4,1,8,39,19
218,22,98,43,266,525,215,Frank,148,108,81,3,Kaminsky,1708,69,126,606,C,38,CHO,202,68,58,323,147
219,23,33,33,415,719,414,Enes,251,200,82,1,Kanter,1721,249,166,1038,C,26,OKC,21,10,115,698,404
220,22,35,2,50,74,30,Sergey,28,26,40,5,Karasev,399,8,27,97,SF,6,BRK,37,11,22,37,19
