,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
290,Memphis Grizzlies,82,2013-12-08 01:00:00,Golden State Warriors,108
291,Milwaukee Bucks,82,2013-12-08 01:30:00,Brooklyn Nets,90
292,Minnesota Timberwolves,82,2013-12-08 01:00:00,Miami Heat,103
293,Philadelphia 76ers,92,2013-12-08 00:00:00,Denver Nuggets,103
294,Portland Trail Blazers,106,2013-12-08 03:00:00,Dallas Mavericks,108
295,San Antonio Spurs,100,2013-12-08 01:30:00,Indiana Pacers,111
296,Utah Jazz,102,2013-12-08 02:00:00,Sacramento Kings,112
297,Detroit Pistons,95,2013-12-08 23:00:00,Miami Heat,110
298,Houston Rockets,98,2013-12-09 00:00:00,Orlando Magic,88
299,Los Angeles Lakers,94,2013-12-09 02:30:00,Toronto Raptors,106
300,New York Knicks,73,2013-12-08 05:00:00,Boston Celtics,114
301,Oklahoma City Thunder,118,2013-12-09 00:00:00,Indiana Pacers,94
302,Charlotte Bobcats,115,2013-12-10 00:00:00,Golden State Warriors,111
303,Memphis Grizzlies,94,2013-12-10 01:00:00,Orlando Magic,85
304,Philadelphia 76ers,83,2013-12-10 00:00:00,Los Angeles Clippers,94
305,Sacramento Kings,112,2013-12-10 03:00:00,Dallas Mavericks,97
306,Utah Jazz,94,2013-12-10 02:00:00,Portland Trail Blazers,105
307,Washington Wizards,74,2013-12-10 00:00:00,Denver Nuggets,75
308,Atlanta Hawks,92,2013-12-11 00:30:00,Oklahoma City Thunder,101
309,Brooklyn Nets,104,2013-12-11 00:30:00,Boston Celtics,96
310,Chicago Bulls,74,2013-12-11 01:00:00,Milwaukee Bucks,78
311,Cleveland Cavaliers,109,2013-12-11 00:00:00,New York Knicks,94
312,Detroit Pistons,94,2013-12-11 00:30:00,Minnesota Timberwolves,121
313,Indiana Pacers,90,2013-12-11 00:00:00,Miami Heat,84
314,Los Angeles Lakers,108,2013-12-11 03:30:00,Phoenix Suns,114
315,Toronto Raptors,103,2013-12-11 00:00:00,San Antonio Spurs,116
316,Boston Celtics,88,2013-12-12 00:30:00,Los Angeles Clippers,96
317,Charlotte Bobcats,83,2013-12-12 00:00:00,Orlando Magic,92
318,Golden State Warriors,95,2013-12-12 03:30:00,Dallas Mavericks,93
