,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
182,31,104,92,644,613,388,Dwight,424,226,74,74,Howard,2199,296,203,1002,C,64,ATL,2,0,170,611,388
183,33,52,2,22,68,25,Marcelo,17,9,23,1,Huertas,237,2,16,63,PG,10,LAL,19,4,19,49,21
184,25,3,3,5,11,6,Josh,1,0,2,0,Huestis,31,4,0,14,PF,0,OKC,4,2,0,7,4
185,31,29,21,146,214,87,Kris,82,64,56,4,Humphries,689,60,69,257,PF,15,ATL,54,19,28,160,68
186,23,0,0,1,1,0,R.J.,0,0,3,0,Hunter,9,0,0,0,SG,0,CHI,1,0,0,0,0
187,33,261,39,253,415,219,Andre,102,72,76,0,Iguodala,1998,51,97,574,SF,76,GSW,177,64,58,238,155
188,29,225,8,238,451,204,Joe,68,50,82,26,Ingles,1972,23,163,581,SF,96,UTA,279,123,107,172,81
189,19,166,36,256,686,276,Brandon,214,133,79,40,Ingram,2279,60,158,740,SF,50,LAL,187,55,116,499,221
190,24,418,24,178,1420,671,Kyrie,328,297,72,72,Irving,2525,52,157,1816,PG,83,CLE,441,177,180,979,494
191,33,5,0,0,3,2,Jarrett,2,2,2,0,Jack,33,0,4,6,PG,2,NOP,1,0,3,2,2
192,22,3,0,2,4,3,Demetrius,6,3,5,0,Jackson,17,2,0,10,PG,0,BOS,1,1,0,3,2
193,25,19,0,8,39,13,Pierre,7,6,8,1,Jackson,84,1,5,35,PG,2,DAL,11,3,3,28,10
194,26,270,5,93,677,284,Reggie,136,118,52,50,Jackson,1424,21,129,752,PG,35,DET,184,66,114,493,218
195,32,646,44,542,1344,736,LeBron,531,358,74,74,James,2794,97,134,1954,SF,92,CLE,342,124,303,1002,612
196,32,57,16,203,471,235,Al,85,65,66,1,Jefferson,931,75,125,535,C,19,IND,1,0,33,470,235
197,36,78,10,175,343,153,Richard,108,80,79,13,Jefferson,1614,28,153,448,SF,26,CLE,186,62,52,157,91
198,25,1,0,1,5,2,John,2,2,4,0,Jenkins,13,0,0,7,SG,0,PHO,2,1,0,3,1
199,29,71,17,213,262,114,Jonas,37,26,78,6,Jerebko,1232,59,122,299,PF,25,BOS,130,45,39,132,69
200,29,140,62,248,370,213,Amir,100,67,80,77,Johnson,1608,118,211,520,PF,51,BOS,66,27,77,304,186
201,22,1,1,2,7,2,Brice,0,0,3,0,Johnson,9,1,0,4,PF,2,LAC,0,0,1,7,2
202,29,276,86,310,769,368,James,215,152,76,5,Johnson,2085,66,197,975,PF,76,MIA,256,87,171,513,281
203,35,144,18,210,626,273,Joe,77,63,78,14,Johnson,1843,33,93,715,SF,36,UTA,258,106,69,368,167
204,20,105,24,153,365,129,Stanley,53,36,77,1,Johnson,1371,36,121,339,SF,56,DET,154,45,71,211,84
205,24,233,44,243,824,357,Tyler,254,195,73,0,Johnson,2178,50,176,1002,PG,84,MIA,250,93,90,574,264
206,29,23,30,155,200,73,Wesley,17,11,68,3,Johnson,810,26,83,186,SF,29,LAC,118,29,18,82,44
207,21,359,55,506,854,494,Nikola,228,188,73,59,Jokic,2038,212,214,1221,C,61,DEN,139,45,171,715,449
208,36,1,0,1,8,3,Dahntay,4,3,1,0,Jones,12,1,1,9,SF,0,CLE,2,0,1,6,3
209,21,0,4,14,16,8,Damian,10,3,10,0,Jones,85,9,15,19,C,1,GSW,0,0,6,16,8
210,19,12,13,40,121,68,Derrick,41,29,32,8,Jones,545,39,63,168,SF,14,PHO,11,3,13,110,65
211,36,14,10,34,92,44,James,20,13,48,2,Jones,381,3,37,132,SF,6,CLE,66,31,10,26,13
212,20,156,5,57,181,75,Tyus,43,33,60,0,Jones,774,10,50,209,PG,48,MIN,73,26,38,108,49
213,28,96,134,816,577,412,DeAndre,425,205,81,81,Jordan,2570,298,212,1029,C,51,LAC,2,0,115,575,412
214,25,265,13,184,661,299,Cory,122,94,80,22,Joseph,2003,51,140,740,PG,66,TOR,135,48,108,526,251
215,23,162,34,279,802,320,Frank,156,118,75,16,Kaminsky,1954,57,139,874,C,46,CHO,354,116,76,448,204
216,24,67,38,287,737,402,Enes,285,224,72,0,Kanter,1533,195,154,1033,C,32,OKC,38,5,123,699,397
217,25,8,5,17,28,8,Ryan,6,5,16,0,Kelly,110,1,5,25,PF,4,ATL,10,4,4,18,4
218,23,114,77,409,618,295,Michael,194,152,81,81,Kidd-Gilchrist,2349,156,187,743,SF,81,CHO,9,1,56,609,294
219,27,157,6,258,735,305,Sean,242,204,70,24,Kilpatrick,1754,22,118,919,SG,45,BRK,308,105,135,427,200
